"Day Number","Day Label","Phase","Week","Is Milestone","Practice Paper #","Practice Paper Title","Practice Paper Duration","Physics Topic","Physics Class Concept","Physics Practice Target","Physics MCQ Count","Physics Subtopics","Chemistry Topic","Chemistry Class Concept","Chemistry Practice Target","Chemistry MCQ Count","Chemistry Subtopics","Biology Topic","Biology NCERT Concept","Biology Practice Target","Biology MCQ Count","Biology Subtopics","Total MCQs Target","PYQs Target","MCQ Breakdown","Revision Primary Task","Error Book Focus","NCERT Revision","Test Session"
"11","DAY 11","1","2","NO","","","","Motion in a Straight Line: Graphical Analysis (x-t, v-t, a-t Graphs)","Slope of x-t graph = velocity, slope of v-t graph = acceleration, area under v-t graph = displacement, non-uniform acceleration","35 graphical conversion and area calculation numericals","35","Motion in a Straight Line: Graphical Analysis (x-t, v-t, a-t Graphs)","Dual Nature of Matter: de Broglie Wavelength & Heisenberg Principle","de Broglie relation λ = h/mv = h/√(2mE), Heisenberg uncertainty principle Δx·Δp ≥ h/4π, macroscopic vs microscopic implications","35 numericals on de Broglie wavelength of accelerated electrons & uncertainty","35","Dual Nature of Matter: de Broglie Wavelength & Heisenberg Principle","Plant Kingdom: Pteridophytes (Ferns & Horsetails)","First terrestrial plants with vascular tissues (xylem/phloem), dominant sporophyte, prothallus, homospory vs heterospory, Selaginella","45 MCQs on heterospory, seed habit precursor, and Salvinia","45","Plant Kingdom: Pteridophytes (Ferns & Horsetails)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Conversion of concave/convex x-t curves into v-t slopes","Wavelength of charged particles accelerated through V volts in Error Book","Pteridophyte NCERT diagrams: Selaginella, Equisetum, Fern",""
"12","DAY 12","1","2","NO","","","","Motion in a Plane: Relative Velocity in 1D & 2D","Relative velocity V_AB = V_A - V_B, rain-man problems, river-boat crossing (minimum distance vs minimum time paths)","35 numericals on river crossing & umbrella angle for walking person","35","Motion in a Plane: Relative Velocity in 1D & 2D","Quantum Mechanical Model: Quantum Numbers (n, l, m, s)","Principal (n), Azimuthal/Subsidiary (l), Magnetic (m), Spin (s); orbital shapes (s, p, d, f), nodal planes & radial nodes (n-l-1)","35 problems identifying permissible quantum number sets and orbital nodes","35","Quantum Mechanical Model: Quantum Numbers (n, l, m, s)","Plant Kingdom: Gymnosperms (Pinus & Cycas)","Naked seeds, mycorrhiza in Pinus, coralloid roots in Cycas with cyanobacteria, non-motile gametes, ovule structure, pollination by wind","45 NCERT MCQs on gymnosperm anatomy, archegonia, endosperm ploidy (n)","45","Plant Kingdom: Gymnosperms (Pinus & Cycas)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","River swimmer shortest path vs quickest crossing conditions","Radial nodes (n - l - 1) vs angular nodes (l) calculation in Error Book","Gymnosperm endosperm ploidy vs angiosperm endosperm ploidy flashcard",""
"13","DAY 13","1","2","NO","","","","Motion in a Plane: Projectile Motion (Ground to Ground)","Horizontal and vertical components, Time of flight T = 2u sinθ/g, Maximum height H = u² sin²θ/2g, Range R = u² sin2θ/g, trajectory equation","35 numericals on range equality for complementary angles (θ and 90°-θ)","35","Motion in a Plane: Projectile Motion (Ground to Ground)","Electronic Configuration Rules: Aufbau, Pauli & Hund Rules","Aufbau principle (n+l rule), Pauli exclusion principle, Hund rule of maximum multiplicity, exceptional configs of Cr (24) and Cu (29)","35 numericals on unpaired electrons, magnetic moments (μ = √(n(n+2)) BM)","35","Electronic Configuration Rules: Aufbau, Pauli & Hund Rules","Plant Kingdom: Angiosperms Overview & Alternation of Generations","Haplontic, Diplontic, and Haplo-diplontic life cycles with plant examples (Volvox, Fucus, Polysiphonia, Ectocarpus)","45 NCERT MCQs on life cycle exceptions and Angiosperm double fertilization","45","Plant Kingdom: Angiosperms Overview & Alternation of Generations","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Projectile velocity vector at any time t and angle of velocity","Spin magnetic moment calculation BM formula in Error Book","NCERT plant life cycle pattern diagrams review",""
"14","DAY 14","1","2","YES","","","","Motion in a Plane: Horizontal & Inclined Projectiles + Kinematics PYQs","Projectile fired horizontally from height h, time of landing t = √(2h/g), speed on hitting ground, projectile on inclined plane basics","40 NEET standard PYQs on 2D kinematics","40","Motion in a Plane: Horizontal & Inclined Projectiles + Kinematics PYQs","Structure of Atom: Full Chapter Comprehensive Review & PYQs","Review all formulas: Rydberg, Bohr radii/energy, de Broglie, Heisenberg, nodes, magnetic moments with 10-year NEET PYQs","40 timed atomic structure PYQs under 45 minutes","40","Structure of Atom: Full Chapter Comprehensive Review & PYQs","Plant Kingdom: Full Chapter Comprehensive NCERT Review","Complete comparative table: Algae vs Bryophytes vs Pteridophytes vs Gymnosperms (vascular tissue, dominant phase, ploidy of main plant)","50 NCERT master questions covering the entire chapter","50","Plant Kingdom: Full Chapter Comprehensive NCERT Review","130","39","P: 40 | C: 40 | B: 50 (incl. ~39 PYQs)","Week 2 Cumulative Revision: 720-minute rapid review across all Week 2 topics","Audit Week 2 Error Book: re-solve every missed numerical from Days 8 to 13","Plant Kingdom high-yield comparative chart self-test","MILESTONE TEST 2: Class 11 Week 2 Review (1D/2D Kinematics, Atomic Structure, Plant Kingdom)"
"15","DAY 15","1","3","NO","","","","Newton Laws of Motion: Inertia, Momentum & 2nd Law (F = dp/dt)","Newton 1st, 2nd, 3rd laws, impulse J = Δp = ∫F dt, area under F-t curve, variable mass rocket propulsion formula","35 numericals on impulse, force on water jet, bullet-gun recoil","35","Newton Laws of Motion: Inertia, Momentum & 2nd Law (F = dp/dt)","Classification of Elements: Modern Periodic Table & Electronic Config","Moseley law (√ν ∝ Z), long form of periodic table, s, p, d, f block electronic configurations, IUPAC nomenclature for Z > 100","30 MCQs on periodic table layout and block identification","30","Classification of Elements: Modern Periodic Table & Electronic Config","Animal Kingdom: Basis of Classification","Levels of organization, symmetry (radial vs bilateral), diploblastic vs triploblastic, coelom types (acoelomate, pseudocoelomate, coelomate)","45 NCERT line-by-line MCQs on germ layers, segmentation, notochord","45","Animal Kingdom: Basis of Classification","110","33","P: 35 | C: 30 | B: 45 (incl. ~33 PYQs)","Impulse-momentum theorem graph area problems","IUPAC name roots (nil, un, bi, tri, quad, pent, hex, sept, oct, enn) in Error Book","Animal kingdom basis of classification summary chart",""
"16","DAY 16","1","3","NO","","","","NLM: Free Body Diagrams (FBD) & Equilibrium of Concurrent Forces","Normal reaction, tension in strings, Lami theorem (P/sinα = Q/sinβ = R/sinγ), resolving forces along orthogonal axes","35 numericals on connected bodies on horizontal and inclined smooth surfaces","35","NLM: Free Body Diagrams (FBD) & Equilibrium of Concurrent Forces","Periodic Properties: Atomic Radius & Ionic Radius Trends","Covalent radius, van der Waals radius, metallic radius; variation across period & group; isoelectronic species size comparison","35 problems on ordering isoelectronic ions (N³⁻, O²⁻, F⁻, Na⁺, Mg²⁺, Al³⁺)","35","Periodic Properties: Atomic Radius & Ionic Radius Trends","Animal Kingdom: Phylum Porifera & Coelenterata (Cnidaria)","Porifera: canal system, choanocytes (collar cells), spicules, spongin; Cnidaria: cnidocytes, polyp vs medusa, metagenesis (Obelia)","45 line-by-line NCERT MCQs on Sycon, Spongilla, Hydra, Physalia, Adamsia","45","Animal Kingdom: Phylum Porifera & Coelenterata (Cnidaria)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Lami theorem application in hanging mass equilibrium","Isoelectronic species effective nuclear charge (Z/e) in Error Book","Cnidaria metagenesis & coral reef examples list",""
"17","DAY 17","1","3","NO","","","","NLM: Pulley Systems & Tension in Strings","Atwood machine, acceleration a = (m1-m2)g/(m1+m2), tension T = 2m1m2g/(m1+m2), pulleys on smooth inclined planes, string constraint","35 numericals on multi-mass pulley systems and movable pulleys","35","NLM: Pulley Systems & Tension in Strings","Periodic Properties: Ionization Enthalpy (IE) & Successive IEs","Factors affecting IE (effective nuclear charge, screening effect, penetration, stable half/full filled subshells), anomalous IE of Be vs B and N vs O","35 problems on predicting 1st, 2nd, 3rd ionization enthalpies","35","Periodic Properties: Ionization Enthalpy (IE) & Successive IEs","Animal Kingdom: Phylum Ctenophora & Platyhelminthes","Ctenophora: comb plates (8 ciliated rows), bioluminescence, Pleurobrachia; Platyhelminthes: flatworms, flame cells, Taenia, Fasciola","45 NCERT line-by-line MCQs on excretion and parasitic adaptations","45","Animal Kingdom: Phylum Ctenophora & Platyhelminthes","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Movable pulley string constraint relation (v_p = (v1+v2)/2)","IE anomalies (Be > B and N > O) electronic configuration justification in Error Book","Flame cells & comb plates features flashcards",""
"18","DAY 18","1","3","NO","","","","NLM: Apparent Weight in a Lift & Frame of Reference","Inertial vs non-inertial frames, pseudo force (-ma), apparent weight in accelerating lift (W = m(g±a)), free fall weightlessness","35 numericals on spring balance and weighing machine in moving elevator","35","NLM: Apparent Weight in a Lift & Frame of Reference","Periodic Properties: Electron Gain Enthalpy (EGE) & Electronegativity","EGE trends, negative vs positive EGE, noble gases, anomalous EGE of Cl vs F and S vs O; Pauling scale of electronegativity","35 problems on ranking electron affinities and electronegativities","35","Periodic Properties: Electron Gain Enthalpy (EGE) & Electronegativity","Animal Kingdom: Phylum Aschelminthes & Annelida","Aschelminthes: pseudocoelomate, alimentary canal muscular pharynx, Ascaris, Wuchereria; Annelida: metamerism, longitudinal/circular muscles, nephridia, Nereis, Earthworm, Hirudinaria","45 NCERT line-by-line MCQs on dioecious vs monoecious annelids","45","Animal Kingdom: Phylum Aschelminthes & Annelida","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Pseudo force direction in accelerating carts and pendulums","Why Cl has higher negative EGE than F in Error Book","Nephridia & parapodia anatomical functions in Annelida",""
"19","DAY 19","1","3","NO","","","","Friction: Static, Limiting & Kinetic Friction","Origin of friction, laws of friction, coefficients μs and μk (μs > μk), limiting friction fs_max = μs N, kinetic friction fk = μk N","35 numericals on finding whether block moves or stays at rest under applied force","35","Friction: Static, Limiting & Kinetic Friction","Periodic Properties: Valence, Oxidation States & Diagonal Relationships","Anomalous properties of second period elements (Li, Be, B), small size, high charge/radius ratio, absence of d-orbitals, diagonal pairs (Li-Mg, Be-Al, B-Si)","30 conceptual MCQs on periodic trends and diagonal similarities","30","Periodic Properties: Valence, Oxidation States & Diagonal Relationships","Animal Kingdom: Phylum Arthropoda (Largest Phylum)","Chitinous exoskeleton, jointed appendages, statocysts, malpighian tubules, book lungs, economic importance (Apis, Bombyx, Laccifer), vectors (Anopheles, Culex, Aedes)","50 NCERT line-by-line MCQs on Arthropoda diversity & Limulus","50","Animal Kingdom: Phylum Arthropoda (Largest Phylum)","115","35","P: 35 | C: 30 | B: 50 (incl. ~35 PYQs)","Checking applied force against limiting friction condition (F_app ≤ fs_max)","Diagonal relationship pairs rationale in Error Book","Arthropod excretion organs & living fossil Limulus traits",""
"20","DAY 20","1","3","NO","","","","Friction: Angle of Friction, Angle of Repose & Two-Block Systems","Angle of repose tanθ = μ, motion of block on rough inclined plane, two-block friction problems (minimum force for relative sliding)","35 numericals on two blocks placed one over the other with friction","35","Friction: Angle of Friction, Angle of Repose & Two-Block Systems","Periodic Classification: Full Chapter Review & 10-Year PYQs","Comprehensive review of atomic radius, IE, EGE, electronegativity, acidic/basic nature of oxides with NEET PYQs","40 timed periodic table PYQs under 45 minutes","40","Periodic Classification: Full Chapter Review & 10-Year PYQs","Animal Kingdom: Phylum Mollusca & Echinodermata","Mollusca: calcareous shell, mantle cavity, radula, feather-like gills, Pila, Octopus; Echinodermata: water vascular system, radial adult/bilateral larva, Asterias, Echinus","50 NCERT line-by-line MCQs on water vascular system and larva symmetry","50","Animal Kingdom: Phylum Mollusca & Echinodermata","125","38","P: 35 | C: 40 | B: 50 (incl. ~38 PYQs)","Two-block acceleration threshold calculation steps","Oxide nature across period (basic -> amphoteric -> acidic) in Error Book","Echinodermata larval vs adult symmetry distinction flashcard",""
"21","DAY 21","1","3","YES","","","","Circular Motion: Centripetal Acceleration & Dynamics of Circular Motion","Angular velocity ω, tangential velocity v = rω, centripetal acceleration ac = v²/r = ω²r, banking of roads without/with friction (v_max = √[rg(μ+tanθ)/(1-μ tanθ)])","35 numericals on death well, conical pendulum, banked roads","35","Circular Motion: Centripetal Acceleration & Dynamics of Circular Motion","Chemical Bonding: Lewis Symbols, Octet Rule & Ionic Bonding","Lattice enthalpy, Born-Haber cycle, factors favoring ionic bond formation (low IE of metal, high negative EGE of non-metal, high lattice energy)","35 numericals on lattice enthalpy and ionic bond properties","35","Chemical Bonding: Lewis Symbols, Octet Rule & Ionic Bonding","Animal Kingdom: Hemichordata & Chordata Overview (Urochordata, Cephalochordata)","Hemichordata: proboscis, collar, trunk, stomochord, Balanoglossus; Chordata: notochord, dorsal hollow nerve cord, pharyngeal gill slits, post-anal tail; Protochordates","50 NCERT line-by-line MCQs on chordate hallmarks","50","Animal Kingdom: Hemichordata & Chordata Overview (Urochordata, Cephalochordata)","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Week 3 Cumulative Revision: 720-minute rapid review across all Week 3 topics","Audit Week 3 Error Book: banking of roads and Atwood machines review","Chordata vs Non-chordata comparison table 4.1 verbatim","MILESTONE TEST 3: Class 11 Week 3 Review (NLM, Friction, Periodic Trends, Non-Chordates)"
"22","DAY 22","1","4","NO","","","","Work, Energy & Power: Work Done by Constant & Variable Forces","Work W = F·d = F d cosθ, work done by variable force W = ∫F dx, area under F-x curve, work done by spring force W = -½kx²","35 numericals on conservative spring forces and area calculations","35","Work, Energy & Power: Work Done by Constant & Variable Forces","Chemical Bonding: Covalent Bond, Octet Rule Limitations & Formal Charge","Exceptions to octet rule (incomplete octet BF3, odd electron NO, expanded octet PCl5, SF6), formal charge calculation formula","35 problems calculating formal charges on atoms in ozone, carbonate, nitrite","35","Chemical Bonding: Covalent Bond, Octet Rule Limitations & Formal Charge","Animal Kingdom: Vertebrata (Cyclostomata & Chondrichthyes vs Osteichthyes)","Cyclostomes: jawless, sucking circular mouth, Petromyzon migration; Chondrichthyes: cartilaginous, placoid scales, operculum absent, air bladder absent; Osteichthyes: bony, cycloid scales, operculum present, air bladder present","50 NCERT line-by-line MCQs on fish comparisons and electric organs","50","Animal Kingdom: Vertebrata (Cyclostomata & Chondrichthyes vs Osteichthyes)","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Work done by spring force sign convention (-½k(x2² - x1²))","Formal charge calculation mistakes in Error Book","Chondrichthyes vs Osteichthyes comparison chart",""
"23","DAY 23","1","4","NO","","","","Work, Energy & Power: Kinetic Energy & Work-Energy Theorem","Work-Energy theorem W_net = ΔK = ½mv² - ½mu², application to variable forces and resistive media","35 numericals on bullet penetrating wooden plank and stopping distance","35","Work, Energy & Power: Kinetic Energy & Work-Energy Theorem","Chemical Bonding: VSEPR Theory (Valence Shell Electron Pair Repulsion)","Geometry vs shape of molecules, lone pair-lone pair > lone pair-bond pair > bond pair-bond pair repulsions; shapes of NH3, H2O, SF4, ClF3, XeF2, XeF4","35 problems predicting molecular shapes and bond angles","35","Chemical Bonding: VSEPR Theory (Valence Shell Electron Pair Repulsion)","Animal Kingdom: Amphibia, Reptilia, Aves & Mammalia","Amphibia: dual life, 3-chambered heart; Reptilia: dry cornified skin, 3-chambered heart (Crocodile 4-chambered); Aves: pneumatic bones, air sacs; Mammalia: mammary glands, hair, viviparous (Platypus oviparous)","50 NCERT line-by-line MCQs on vertebrate heart chambers and examples","50","Animal Kingdom: Amphibia, Reptilia, Aves & Mammalia","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Work-Energy theorem with non-conservative friction work","VSEPR lone pair position in trigonal bipyramidal geometry (equatorial)","Vertebrate classes summary table 4.2 review",""
"24","DAY 24","1","4","NO","","","","Work, Energy & Power: Potential Energy of a Spring & Conservation of Mechanical Energy","Potential energy function U(x), conservative force F = -dU/dx, mechanical energy conservation E = K + U = constant, vertical circular motion critical velocities (√5gl, √3gl, √gl)","35 numericals on vertical circular motion and spring-mass oscillation energy","35","Work, Energy & Power: Potential Energy of a Spring & Conservation of Mechanical Energy","Chemical Bonding: Hybridization (sp, sp², sp³, sp³d, sp³d²)","Concept of orbital mixing, percentage s-character, bond strength, hybridization of central atoms in organic and inorganic species (CH4, C2H4, C2H2, PCl5, SF6, IF7)","35 problems finding hybridization state and steric numbers","35","Chemical Bonding: Hybridization (sp, sp², sp³, sp³d, sp³d²)","Animal Kingdom: Full Chapter Comprehensive NCERT Review & PYQs","Review all 11 phyla from Porifera to Chordata with all scientific names and economic examples","50 timed NEET animal kingdom PYQs under 45 minutes","50","Animal Kingdom: Full Chapter Comprehensive NCERT Review & PYQs","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Vertical circle string slack condition at highest point (T ≥ 0)","Steric number calculation with coordinate/dative bonds in Error Book","Full Animal Kingdom scientific name flashcard drill",""
